Canton,Code
Aargau,AG
Appenzell Ausserrhoden,AU
Appenzell Innerrhoden,AI
Basel-Landschaft,BL
Basel-Stadt,BS
Bern / Berne,BE
Fribourg / Freiburg,FR
Genève,GE
Glarus,GL
Graubünden / Grigioni / Grischun,GR
Jura,JU
Luzern,LU
Neuchâtel,NE
Nidwalden,NW
Obwalden,OW
Schaffhausen,SH
Schwyz,SZ
Solothurn,SO
St. Gallen,SG
Thurgau,TG
Ticino,TI
Uri,UR
Valais / Wallis,VS
Vaud,VD
Zug,ZG
Zürich,ZH
