Year,Canton,Population on 31 December
2020,Luzern,416347
2020,Uri,36819
2020,Schwyz,162157
2020,Obwalden,38108
2020,Nidwalden,43520
2020,Glarus,40851
2020,Zug,128794
2020,Fribourg / Freiburg,325496
2020,Solothurn,277462
2020,Basel-Stadt,196735
2020,Basel-Landschaft,290969
2020,Schaffhausen,83107
2020,Appenzell Ausserrhoden,55309
2020,Appenzell Innerrhoden,16293
2020,St. Gallen,514504
2020,Graubünden / Grigioni / Grischun,200096
2020,Aargau,694072
2020,Thurgau,282909
2020,Ticino,350986
2020,Vaud,814762
2020,Valais / Wallis,348503
2020,Neuchâtel,175894
2020,Genève,506343
2020,Jura,73709
